GEOID,total_cvap_acs5_23,white_cvap_acs5_23,black_cvap_acs5_23,amin_cvap_acs5_23,asian_cvap_acs5_23,nhpi_cvap_acs5_23,other_cvap_acs5_23,two_or_more_races_cvap_acs5_23,non_hispanic_white_cvap_acs5_23,hispanic_cvap_acs5_23
13091,15887.0,10682.0,4903.0,42.0,3.0,0.0,38.0,219.0,10484.0,287.0
13093,8901.0,3978.0,4372.0,31.0,0.0,0.0,172.0,348.0,3970.0,216.0
13095,62677.0,16742.0,43682.0,87.0,400.0,0.0,574.0,1192.0,16489.0,1072.0
13097,102787.0,41288.0,51567.0,241.0,1678.0,18.0,2234.0,5761.0,38838.0,7059.0
13099,7957.0,3780.0,3959.0,6.0,31.0,0.0,7.0,174.0,3780.0,72.0
13101,2371.0,1772.0,152.0,3.0,0.0,0.0,140.0,304.0,1664.0,437.0
13103,48191.0,37890.0,7076.0,72.0,317.0,84.0,736.0,2016.0,37111.0,1856.0
13105,15109.0,10162.0,3827.0,138.0,163.0,0.0,106.0,713.0,10069.0,432.0
13107,16737.0,10444.0,5363.0,51.0,111.0,0.0,35.0,733.0,10402.0,215.0
13109,7614.0,4693.0,2178.0,17.0,67.0,0.0,63.0,596.0,4689.0,366.0
13111,21261.0,20049.0,155.0,38.0,79.0,0.0,178.0,762.0,19956.0,332.0
13113,87723.0,55637.0,22819.0,159.0,2344.0,119.0,2092.0,4553.0,54350.0,4816.0
13115,72573.0,56761.0,9852.0,181.0,814.0,98.0,1676.0,3191.0,55573.0,4359.0
13117,166018.0,128212.0,7312.0,292.0,16497.0,0.0,3178.0,10527.0,125058.0,11242.0
13119,17798.0,15563.0,1503.0,29.0,61.0,0.0,104.0,538.0,15391.0,414.0
13121,778195.0,337426.0,345448.0,1105.0,40072.0,268.0,15343.0,38533.0,325859.0,42544.0
13123,25333.0,23209.0,195.0,105.0,116.0,0.0,605.0,1103.0,22776.0,1745.0
13125,2287.0,2001.0,263.0,0.0,0.0,0.0,0.0,23.0,2001.0,14.0
13127,64987.0,44666.0,15918.0,160.0,602.0,64.0,1126.0,2451.0,43944.0,2501.0
