GEOID,white_amin_asian_pop_20,white_amin_asian_other_pop_20,amin_asian_nhpi_pop_20,white_black_asian_nhpi_other_pop_20,amin_asian_pop_20,amin_asian_other_pop_20,white_amin_nhpi_pop_20,white_amin_asian_nhpi_other_pop_20,white_amin_nhpi_other_pop_20,white_amin_other_pop_20,amin_nhpi_pop_20,white_asian_nhpi_other_pop_20,amin_nhpi_other_pop_20,black_amin_asian_nhpi_other_pop_20,amin_other_pop_20,two_races_pop_20,asian_nhpi_other_pop_20,white_asian_nhpi_pop_20,black_amin_asian_nhpi_pop_20,white_black_pop_20,white_asian_other_pop_20,asian_nhpi_pop_20,black_amin_asian_other_pop_20,four_races_pop_20,asian_other_pop_20,white_amin_pop_20,white_black_amin_asian_pop_20,white_nhpi_other_pop_20,white_asian_pop_20,total_pop_20,black_amin_asian_pop_20,nhpi_other_pop_20,white_black_amin_nhpi_pop_20,one_race_pop_20,three_races_pop_20,white_nhpi_pop_20,black_amin_nhpi_pop_20,six_races_pop_20,white_black_amin_asian_nhpi_other_pop_20,black_amin_nhpi_other_pop_20,black_asian_nhpi_other_pop_20,five_races_pop_20,amin_asian_nhpi_other_pop_20,white_black_amin_other_pop_20,white_black_amin_asian_nhpi_pop_20,white_black_asian_other_pop_20,white_black_asian_nhpi_pop_20,white_black_nhpi_other_pop_20,black_asian_other_pop_20,white_black_amin_asian_other_pop_20,black_asian_nhpi_pop_20,black_nhpi_other_pop_20,white_black_other_pop_20,white_black_amin_nhpi_other_pop_20,white_amin_asian_nhpi_pop_20,white_other_pop_20,white_pop_20,black_amin_other_pop_20,white_black_amin_pop_20,black_pop_20,white_black_asian_pop_20,black_amin_pop_20,black_asian_pop_20,amin_pop_20,white_black_nhpi_pop_20,asian_pop_20,black_nhpi_pop_20,black_other_pop_20,nhpi_pop_20,other_pop_20,two_or_more_races_pop_20
13073,89,3,8,2,12,3,3,0,8,94,0,0,0,0,36,12475,2,82,2,2351,68,63,0,118,49,2336,33,5,2140,156010,10,11,7,142313,1086,140,0,3,3,0,0,15,0,53,4,6,4,0,17,9,3,1,211,0,2,4342,102028,17,288,28315,175,201,279,540,10,7211,32,483,302,3917,13697
13075,6,0,0,0,0,0,0,0,0,6,1,1,0,0,11,717,0,1,0,181,0,0,0,9,0,181,0,0,42,17229,0,0,0,16470,31,2,0,1,1,0,2,1,0,0,0,1,0,0,0,1,0,0,3,0,5,261,10975,0,9,4772,5,15,7,73,1,101,1,15,9,540,759
13077,20,5,0,0,9,4,0,0,0,103,0,2,0,0,53,9363,1,20,0,1450,15,17,0,70,63,2123,12,1,892,146158,0,11,5,136227,493,49,2,0,0,0,0,5,0,40,0,5,0,0,0,5,4,0,102,0,1,4120,101755,19,139,25867,57,196,116,525,6,3365,9,255,66,4649,9931
13079,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,545,0,2,0,118,1,2,0,11,3,183,0,0,47,12130,2,0,0,11521,46,6,0,0,0,0,0,7,0,7,2,0,0,0,0,4,0,0,6,0,0,172,9008,5,20,2268,3,6,3,58,5,31,0,5,4,152,609
13081,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,4,0,233,0,0,1,5,0,128,0,0,48,20128,0,1,0,19482,19,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,1,0,0,147,10007,0,11,8879,0,43,4,35,0,180,3,14,4,377,646
13083,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,844,1,2,0,54,0,3,0,6,2,495,3,0,42,16251,0,0,0,15385,16,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,229,14895,1,5,142,1,6,0,83,0,131,3,9,5,129,866
13085,6,0,0,0,0,1,0,0,0,10,0,0,0,0,15,1672,0,2,3,134,0,2,0,21,6,626,8,0,105,26798,0,0,0,25073,32,3,0,0,0,0,0,0,0,1,0,0,1,0,2,0,4,3,1,0,8,758,23852,1,0,209,2,6,4,90,0,236,0,13,15,671,1725
13087,0,6,0,0,0,0,2,0,0,10,0,0,0,0,4,990,0,9,0,233,0,1,0,9,13,212,0,0,31,29367,0,0,0,28308,59,0,1,0,0,0,0,1,0,3,1,0,0,0,2,0,2,0,2,0,0,429,14558,0,18,12241,13,29,13,109,0,186,0,25,16,1198,1059
13089,74,9,1,0,95,1,11,0,0,549,12,4,0,0,647,46138,0,68,5,7243,154,147,1,415,429,2899,104,6,5141,764382,59,55,7,714489,3286,151,9,5,5,0,2,49,0,234,25,43,0,0,54,24,42,10,631,0,6,20946,225752,106,1193,388963,302,2420,1202,4412,16,50384,157,4594,250,44728,49893
13091,4,2,0,0,0,0,0,0,0,2,0,0,0,1,0,575,0,1,0,212,0,0,0,10,0,127,1,0,17,19925,4,0,0,19305,32,0,0,2,2,0,0,1,0,3,0,2,0,0,0,0,0,0,3,0,2,187,13020,1,5,5870,11,14,1,23,1,95,1,16,17,280,620
13093,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,294,0,4,0,58,1,0,0,1,0,55,1,0,15,11208,0,0,0,10898,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,135,4691,0,1,5561,0,11,2,27,2,51,0,15,5,563,310
13095,14,0,1,0,3,0,3,0,0,12,0,0,0,1,7,2342,0,12,0,831,0,14,0,26,4,345,13,0,149,85790,2,6,0,83230,183,7,0,3,3,4,0,6,0,9,0,0,0,0,0,5,0,0,24,0,0,514,20976,4,88,59988,23,202,42,167,0,668,29,189,30,1401,2560
13097,14,0,0,0,18,0,0,0,0,60,3,0,0,0,94,9810,2,21,0,2207,28,11,0,64,16,1297,16,0,348,144237,9,23,0,133692,667,38,0,0,0,0,0,4,0,37,0,0,11,0,3,0,5,0,168,4,0,4182,52285,12,284,69870,61,495,229,689,0,2347,43,806,118,8383,10545
13099,2,0,0,0,1,0,0,0,0,9,0,0,0,0,0,254,0,3,0,98,1,1,0,3,0,83,2,0,9,10854,4,0,1,10572,22,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4864,0,3,5562,0,14,0,36,0,47,0,1,3,60,282
13101,0,3,0,0,0,0,3,0,0,11,1,1,0,0,2,352,0,0,0,16,0,3,0,11,1,41,0,0,4,3697,0,2,1,3313,21,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,4,271,2534,0,4,157,0,4,3,66,0,11,0,3,0,545,384
13103,30,0,0,0,5,0,0,1,0,30,0,5,0,0,0,4210,5,9,0,805,13,0,0,27,1,1330,14,2,417,64769,7,3,0,60278,252,41,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,3,45,0,0,1409,49132,3,76,8845,28,72,51,249,1,681,4,72,40,1331,4491
13105,4,0,0,0,1,0,0,0,0,6,0,0,0,0,6,726,0,0,0,174,4,7,0,8,0,183,3,0,29,19637,0,0,0,18863,40,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,291,12824,4,11,5280,5,19,3,59,0,182,6,4,9,509,774
13107,5,0,0,0,0,0,0,0,0,7,0,0,0,0,5,668,0,0,0,214,0,4,0,2,0,187,1,1,7,22768,2,9,0,22066,27,7,0,0,0,0,0,5,0,0,0,1,0,0,0,5,0,0,1,0,0,178,14026,0,11,7264,0,27,2,60,0,143,0,28,2,571,702
13109,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,569,0,2,0,119,0,0,0,0,2,97,0,0,12,10774,0,0,0,10168,36,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,319,6240,13,8,3114,0,8,0,29,0,82,0,9,12,691,606
13111,0,0,0,0,5,0,0,0,0,6,1,0,0,0,4,1107,0,0,0,75,0,4,0,2,0,583,0,1,45,25319,0,0,0,24179,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0,377,23549,2,12,85,4,7,1,95,0,113,3,2,5,332,1140
13113,28,5,0,0,19,0,0,0,1,95,1,0,0,0,70,8415,2,16,0,1258,36,21,0,59,29,1295,10,5,918,119194,10,1,0,110169,547,64,1,1,1,1,0,3,1,36,0,4,0,0,6,3,2,0,93,0,1,3900,69788,6,194,29559,53,218,176,410,0,6419,14,431,58,3935,9025
13115,12,0,0,0,10,0,0,1,0,49,3,3,0,2,104,6977,0,7,0,1129,3,10,0,11,20,1484,4,0,303,98584,0,0,0,91373,220,28,3,0,0,0,0,3,0,3,0,0,0,0,3,0,1,5,29,0,1,3654,69485,10,83,14087,14,78,34,698,1,1289,8,112,24,5790,7211
13117,30,4,0,0,47,0,4,0,0,245,0,4,0,0,181,19365,0,51,1,1448,80,39,0,119,129,2719,23,0,2322,251283,9,4,5,230990,798,78,0,0,0,0,0,11,0,74,0,5,1,0,0,11,0,1,119,0,2,11853,163687,16,155,10721,85,88,153,1017,3,45203,6,298,92,10270,20293
13119,3,2,0,0,0,0,0,0,0,1,5,0,0,3,3,1056,0,3,0,225,0,0,0,5,0,364,1,0,36,23424,1,0,0,22312,48,8,1,0,0,0,0,3,0,2,0,0,0,0,0,0,4,0,6,0,0,384,19449,0,24,1904,5,21,0,43,0,261,6,4,6,649,1112
