GEOID,total_vap_est_male_acs5_23,total_vap_est_female_acs5_23,white_vap_est_male_acs5_23,white_vap_est_female_acs5_23,black_vap_est_male_acs5_23,black_vap_est_female_acs5_23,amin_vap_est_male_acs5_23,amin_vap_est_female_acs5_23,asian_vap_est_male_acs5_23,asian_vap_est_female_acs5_23,nhpi_vap_est_male_acs5_23,nhpi_vap_est_female_acs5_23,other_vap_est_male_acs5_23,other_vap_est_female_acs5_23,two_or_more_races_vap_est_male_acs5_23,two_or_more_races_vap_est_female_acs5_23,non_hispanic_white_vap_est_male_acs5_23,non_hispanic_white_vap_est_female_acs5_23,hispanic_vap_est_male_acs5_23,hispanic_vap_est_female_acs5_23
13133,7710.0,8414.0,5088.0,5194.0,2054.0,2528.0,28.0,73.0,125.0,67.0,0.0,0.0,203.0,192.0,212.0,360.0,4990.0,5172.0,360.0,503.0
13135,344904.0,366846.0,135796.0,138090.0,92084.0,108144.0,1345.0,1443.0,46652.0,51139.0,306.0,462.0,35411.0,32977.0,33310.0,34591.0,121598.0,126104.0,76479.0,71497.0
13137,17198.0,19463.0,14147.0,15777.0,432.0,1002.0,54.0,79.0,409.0,407.0,7.0,0.0,876.0,790.0,1273.0,1408.0,13619.0,15451.0,2462.0,2076.0
13139,78125.0,79907.0,54505.0,57365.0,5428.0,6041.0,305.0,210.0,1480.0,2036.0,5.0,10.0,5866.0,5232.0,10536.0,9013.0,49069.0,51980.0,20267.0,18046.0
13141,4173.0,3154.0,1208.0,862.0,2803.0,2270.0,19.0,0.0,30.0,17.0,0.0,0.0,36.0,0.0,77.0,5.0,1208.0,862.0,55.0,0.0
13143,11426.0,11971.0,10348.0,10944.0,491.0,539.0,7.0,3.0,52.0,80.0,0.0,0.0,154.0,12.0,374.0,393.0,10269.0,10853.0,200.0,237.0
13145,13941.0,13931.0,10740.0,10639.0,2384.0,2267.0,9.0,8.0,36.0,160.0,0.0,0.0,324.0,377.0,448.0,480.0,10529.0,10479.0,559.0,560.0
13147,10267.0,10749.0,7895.0,8252.0,1869.0,1593.0,37.0,42.0,99.0,137.0,0.0,0.0,95.0,104.0,272.0,621.0,7803.0,8188.0,340.0,322.0
13149,4378.0,4533.0,3783.0,3922.0,384.0,338.0,0.0,4.0,46.0,42.0,2.0,0.0,6.0,21.0,157.0,206.0,3773.0,3866.0,59.0,97.0
13151,85240.0,98228.0,34941.0,36429.0,40058.0,51088.0,82.0,217.0,2810.0,3339.0,22.0,19.0,1526.0,1762.0,5801.0,5374.0,32815.0,34749.0,6316.0,6449.0
13153,59266.0,64857.0,35093.0,36018.0,17833.0,21139.0,224.0,264.0,1647.0,2430.0,0.0,257.0,977.0,668.0,3492.0,4081.0,33778.0,34910.0,4047.0,3876.0
13155,3669.0,3607.0,2573.0,2546.0,868.0,841.0,0.0,0.0,0.0,17.0,0.0,0.0,150.0,155.0,78.0,48.0,2484.0,2517.0,253.0,184.0
13157,29615.0,30655.0,24008.0,24940.0,2400.0,2261.0,48.0,47.0,633.0,678.0,10.0,24.0,710.0,1056.0,1806.0,1649.0,23337.0,24197.0,2659.0,2557.0
13159,5670.0,6077.0,4316.0,4503.0,945.0,1143.0,2.0,0.0,0.0,35.0,0.0,0.0,193.0,219.0,214.0,177.0,4316.0,4503.0,226.0,241.0
13161,5360.0,5585.0,3938.0,4090.0,737.0,763.0,33.0,58.0,11.0,6.0,43.0,13.0,138.0,71.0,460.0,584.0,3861.0,4076.0,640.0,528.0
13163,5766.0,6190.0,2648.0,2628.0,2749.0,3316.0,34.0,25.0,18.0,32.0,0.0,0.0,216.0,118.0,101.0,71.0,2582.0,2580.0,317.0,115.0
13165,3800.0,3262.0,2199.0,1929.0,1408.0,1213.0,2.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0,161.0,118.0,2173.0,1900.0,130.0,143.0
13167,4448.0,3088.0,2724.0,2068.0,1528.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,152.0,88.0,2675.0,2060.0,102.0,61.0
13169,10506.0,11502.0,7498.0,8085.0,2661.0,3087.0,6.0,6.0,30.0,53.0,0.0,0.0,62.0,107.0,249.0,164.0,7433.0,8003.0,178.0,173.0
13171,7065.0,7899.0,4901.0,5198.0,1938.0,2268.0,0.0,6.0,48.0,48.0,0.0,0.0,12.0,17.0,166.0,362.0,4841.0,5194.0,72.0,83.0
13173,3944.0,3850.0,2707.0,2573.0,961.0,860.0,9.0,0.0,39.0,65.0,0.0,0.0,97.0,199.0,131.0,153.0,2630.0,2573.0,261.0,283.0
13175,17225.0,20063.0,10705.0,11693.0,5779.0,7538.0,33.0,1.0,204.0,238.0,0.0,32.0,370.0,360.0,134.0,201.0,10599.0,11588.0,449.0,471.0
13177,12270.0,12440.0,8374.0,8653.0,2845.0,2910.0,0.0,0.0,354.0,328.0,0.0,37.0,181.0,67.0,516.0,445.0,8282.0,8642.0,430.0,284.0
13179,25013.0,23319.0,10683.0,9302.0,10453.0,10407.0,83.0,131.0,418.0,524.0,30.0,141.0,864.0,762.0,2482.0,2052.0,10257.0,8760.0,2876.0,2614.0
13181,3057.0,3240.0,2207.0,2187.0,754.0,968.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0,14.0,75.0,71.0,2183.0,2179.0,44.0,20.0
13183,6275.0,6380.0,3621.0,3743.0,1696.0,1562.0,25.0,0.0,0.0,27.0,11.0,39.0,463.0,502.0,459.0,507.0,3548.0,3601.0,679.0,767.0
13185,42683.0,47090.0,24371.0,25366.0,14589.0,17434.0,178.0,136.0,711.0,1097.0,34.0,105.0,896.0,882.0,1904.0,2070.0,23661.0,24695.0,2674.0,2507.0
13187,13697.0,14425.0,12719.0,12978.0,175.0,351.0,48.0,61.0,36.0,218.0,0.0,19.0,149.0,187.0,570.0,611.0,12531.0,12872.0,651.0,719.0
13189,7487.0,8776.0,4414.0,5005.0,2709.0,3501.0,0.0,0.0,80.0,9.0,0.0,0.0,82.0,90.0,202.0,171.0,4326.0,4892.0,206.0,237.0
13191,4556.0,4933.0,3010.0,3105.0,1383.0,1500.0,5.0,10.0,6.0,8.0,0.0,0.0,0.0,0.0,152.0,310.0,2964.0,3097.0,120.0,132.0
13193,5487.0,4218.0,1796.0,1574.0,3324.0,2456.0,9.0,12.0,78.0,58.0,0.0,0.0,148.0,47.0,132.0,71.0,1794.0,1493.0,167.0,147.0
13195,11448.0,12242.0,9386.0,10073.0,995.0,1096.0,3.0,42.0,161.0,232.0,0.0,0.0,456.0,214.0,447.0,585.0,9277.0,9928.0,576.0,636.0
13197,2909.0,3048.0,1817.0,1809.0,793.0,911.0,26.0,14.0,0.0,40.0,0.0,0.0,137.0,169.0,136.0,105.0,1782.0,1778.0,191.0,199.0
13199,7683.0,8591.0,4708.0,5023.0,2689.0,3277.0,16.0,0.0,10.0,52.0,0.0,10.0,19.0,52.0,241.0,177.0,4653.0,4969.0,192.0,129.0
13201,2110.0,2421.0,1528.0,1587.0,461.0,681.0,10.0,23.0,10.0,21.0,6.0,17.0,0.0,10.0,95.0,82.0,1528.0,1587.0,50.0,65.0
13205,8398.0,8140.0,4043.0,4064.0,3882.0,3847.0,11.0,37.0,0.0,4.0,0.0,0.0,330.0,117.0,132.0,71.0,3930.0,3997.0,503.0,179.0
13207,11419.0,11433.0,8349.0,8459.0,2602.0,2492.0,50.0,24.0,89.0,123.0,0.0,0.0,68.0,92.0,261.0,243.0,8235.0,8375.0,313.0,229.0
13209,3526.0,3372.0,2347.0,2334.0,852.0,828.0,14.0,0.0,18.0,18.0,0.0,0.0,125.0,121.0,170.0,71.0,2306.0,2275.0,222.0,194.0
13211,7700.0,8305.0,5828.0,6151.0,1488.0,1777.0,0.0,0.0,45.0,60.0,0.0,0.0,45.0,94.0,294.0,223.0,5801.0,6130.0,259.0,206.0
13213,15211.0,15452.0,13216.0,13952.0,180.0,54.0,86.0,54.0,108.0,27.0,131.0,0.0,636.0,549.0,854.0,816.0,12358.0,13151.0,2100.0,1919.0
13215,72258.0,80998.0,31064.0,32952.0,32246.0,38891.0,138.0,148.0,1578.0,2473.0,55.0,182.0,2791.0,2236.0,4386.0,4116.0,29723.0,31702.0,5704.0,5277.0
13217,39432.0,46529.0,18232.0,19696.0,17992.0,22331.0,0.0,89.0,610.0,671.0,0.0,0.0,727.0,899.0,1871.0,2843.0,17805.0,19178.0,2299.0,2393.0
13219,15350.0,16225.0,13086.0,13658.0,647.0,506.0,43.0,116.0,585.0,755.0,0.0,345.0,218.0,142.0,771.0,703.0,12909.0,13585.0,805.0,765.0
13221,5875.0,6060.0,4481.0,4673.0,832.0,1011.0,0.0,20.0,32.0,45.0,10.0,0.0,224.0,151.0,296.0,160.0,4422.0,4585.0,306.0,332.0
13223,62531.0,66961.0,43056.0,44530.0,13275.0,15351.0,280.0,171.0,672.0,1044.0,80.0,0.0,1522.0,1363.0,3646.0,4502.0,41679.0,43146.0,4765.0,4813.0
13225,10594.0,11656.0,5144.0,5586.0,4399.0,5372.0,42.0,55.0,53.0,82.0,29.0,20.0,476.0,216.0,451.0,325.0,4887.0,5285.0,982.0,788.0
13227,13540.0,14153.0,12725.0,13215.0,56.0,74.0,22.0,16.0,90.0,68.0,22.0,0.0,83.0,115.0,542.0,665.0,12617.0,13055.0,322.0,575.0
13229,7613.0,7434.0,6468.0,6423.0,698.0,726.0,33.0,17.0,0.0,0.0,0.0,0.0,30.0,5.0,384.0,263.0,6289.0,6392.0,501.0,119.0
13231,7184.0,7761.0,6378.0,6786.0,633.0,743.0,0.0,5.0,31.0,83.0,0.0,0.0,69.0,50.0,73.0,94.0,6286.0,6676.0,137.0,137.0
13233,15766.0,16605.0,12136.0,13002.0,1641.0,2055.0,104.0,80.0,192.0,252.0,0.0,0.0,688.0,515.0,1005.0,701.0,11497.0,12544.0,2045.0,1462.0
13235,3139.0,4943.0,2174.0,2760.0,702.0,1909.0,7.0,0.0,36.0,53.0,0.0,0.0,28.0,25.0,192.0,196.0,2150.0,2733.0,187.0,197.0
13237,8690.0,9417.0,6192.0,6435.0,1996.0,2325.0,0.0,0.0,79.0,63.0,22.0,9.0,94.0,217.0,307.0,368.0,6033.0,6300.0,487.0,478.0
13239,1036.0,854.0,443.0,457.0,587.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,437.0,452.0,6.0,19.0
